date,os_type,campaign_name,campaign_id,spend,impressions,clicks,backend_orders,backend_gmv,product,cpm,cpc,ctr,cpa_purchase,aov,backend_roi
2026-05-29,ANDROID,dhgate_dpa-and_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260511,M0ZXR7rklCeN7J9o,72.47,43904,1166,,,,,,,,,
2026-05-30,IOS,dhgate_product318_T1_Purchase 30D_purchase_IAP_Kelsey_20260428,mayu0PGeMJEYQhWJ,100.65,7193,753,,,,,,,,,
2026-05-30,IOS,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,H9HAtL9q0yyc4Gdy,85.51,3614,832,,,,,,,,,
2026-05-30,ANDROID,dhgate_product317_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260427,tDzMEZEldS4Kei0r,48.38,2267,831,,,,,,,,,
2026-05-30,ANDROID,dhgate_product317_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,zbor8ujPF081oChW,46.03,4538,1498,,,,,,,,,
2026-05-30,IOS,dhgate_product317_CA_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,cvR7ymoBxgm2d26z,32.16,990,430,,,,,,,,,
2026-05-30,ANDROID,dhgate_product315_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260425,bedUOEtGfoRFbmze,50.35,5808,651,,,,,,,,,
2026-05-30,IOS,dhgate_product314_UK_Purchase 30D_purchase_IAP_Kelsey_20260424,NmHyz3ZrSwNTmf0j,50.19,2015,356,,,,,,,,,
2026-05-30,IOS,dhgate_product319_US_Purchase 30D_purchase_IAP_Kelsey_20260429,SGOG7us7fBY7c5lH,50.19,3509,446,,,,,,,,,
2026-05-30,IOS,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,OG6WHvKPBaUM1wDo,50.16,6177,495,,,,,,,,,
2026-05-30,IOS,dhgate_product300_T1_Purchase 30D_purchase_IAP_Kelsey_20260421,wGMfDvBHm0s02IeZ,50.57,6439,402,,,,,,,,,
2026-05-30,ANDROID,dhgate_product148_T1_Purchase 30D_purchase_IAP_Kelsey_20260415,dVlitdxzfmXStKCR,97.8,10357,961,,,,,,,,,
2026-05-30,IOS,dhgate_product138_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260403,zNcB24si9mbzBPed,92.14,9742,1215,,,,,,,,,
2026-05-30,IOS,dhgate_product137_US_Purchase 30D_purchase_IAP_Kelsey_20260402,Eo7scqEETcYxo6WH,50.17,3221,235,,,,,,,,,
2026-05-30,IOS,dhgate_product121_US_Purchase 30D_purchase_IAP_Kelsey_20260222,HGuWXrsF7XcJ6CCt,50.13,3415,251,,,,,,,,,
2026-05-30,IOS,dhgate_dpa-ios_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,y55faIMh7doL5RvO,100.12,146234,819,,,,,,,,,
2026-05-30,ANDROID,dhgate_dpa-and_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260511,M0ZXR7rklCeN7J9o,50.5,24689,1106,,,,,,,,,
2026-05-30,ANDROID,dhgate_product301_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260422,uNF1ALuKQFoHzngn,92.81,3414,1536,,,,,,,,,
2026-05-30,ANDROID,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,REqYVaM8BdMh2U81,42.25,1760,311,,,,,,,,,
2026-05-30,IOS,dhgate_product367_UK_Purchase 30D_purchase_IAP_Kelsey_20260530,B6nfe2NZpKCjpgca,0.06,4,3,,,,,,,,,
2026-05-30,ANDROID,dhgate_product322_US_Purchase 30D_purchase_IAP_Kelsey_20260504,UEOt0CeUKtYLfLaH,50.36,2601,330,,,,,,,,,
2026-05-30,ANDROID,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,tlDSznDFDWyzbPVr,33.49,1261,457,,,,,,,,,
2026-05-30,IOS,dhgate_product366_UK_Purchase 30D_purchase_IAP_Kelsey_20260529,AuNEgf9zqO65aSdr,39.32,879,455,,,,,,,,,
2026-05-30,IOS,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,gisdp4kMGc6WK5GP,50.13,1039,466,,,,,,,,,
2026-05-30,ANDROID,dhgate_product365_US_Purchase 30D_purchase_IAP_Kelsey_20260528,WNhjy86kVGDJDol3,43.58,2061,349,,,,,,,,,
2026-05-30,ANDROID,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,QXrf4REyep7GNYPS,44.07,1330,314,,,,,,,,,
2026-05-30,IOS,dhgate_product364_US_Purchase 30D_purchase_IAP_Kelsey_20260527,qX4oco28gDbrpBri,50.18,1005,443,,,,,,,,,
2026-05-30,ANDROID,dhgate_product359_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260523,RWeVcrW8HneV8sUj,41.95,2410,814,,,,,,,,,
2026-05-30,IOS,dhgate_product357_UK_ACT&Nopay 30D_purchase_IAP_Kelsey_20260521,secYrwGRxGvE22kr,42.68,1157,649,,,,,,,,,
2026-05-30,IOS,dhgate_product321_US_Purchase 30D_purchase_IAP_Kelsey_20260502,ihMCrglFMezOy59I,50.11,4143,234,,,,,,,,,
2026-05-30,IOS,dhgate_product350_US_Purchase 30D_purchase_IAP_Kelsey_20260517,eZwoS7yMwcYqxbzm,50.58,903,451,,,,,,,,,
2026-05-30,IOS,dhgate_product340_US_Purchase 30D_purchase_IAP_Kelsey_20260516,yznk4uz7IRlNu5TH,50.22,1072,453,,,,,,,,,
2026-05-30,IOS,dhgate_product338_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260515,aiZBaGOKYFBuq0Ps,39.42,2392,1211,,,,,,,,,
2026-05-30,ANDROID,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,Hi3okRpzvLX7H2oQ,50.29,5362,1753,,,,,,,,,
2026-05-30,IOS,dhgate_product337_T1_ACT&Nopay 30D_purchase_IAP_Kelsey_20260513,pMbmqjxpXWy9uySH,50.16,6638,709,,,,,,,,,
2026-05-30,IOS,dhgate_product336_T1_Purchase 30D_purchase_IAP_Kelsey_20260512,IbA1O59ht1JcwImf,50.22,3162,469,,,,,,,,,
2026-05-30,ANDROID,dhgate_product332_T1_Purchase 30D_purchase_IAP_Kelsey_20260511,xRPnz3ozCwa6ycwg,50.16,7831,718,,,,,,,,,
2026-05-30,IOS,dhgate_product326_US_ACT&Nopay 30D_purchase_IAP_Kelsey_20260506,zMf9PKJzCf4uVI7T,49.39,1319,726,,,,,,,,,
2026-05-30,ANDROID,dhgate_product351_US_Purchase 30D_purchase_IAP_Kelsey_20260518,QTLyTb1PbE3fo5hj,50.73,1844,329,,,,,,,,,
2026-05-31,IOS,dhgate_product317_CA_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,cvR7ymoBxgm2d26z,34.21,889,425,,,,,,,,,
2026-05-31,ANDROID,dhgate_product317_FR_ACT&Nopay 30D_purchase_IAP_Kelsey_20260526,zbor8ujPF081oChW,42.06,3667,1407,,,,,,,,,
2026-05-31,IOS,dhgate_product319_US_Purchase 30D_purchase_IAP_Kelsey_20260429,SGOG7us7fBY7c5lH,50.37,3795,396,,,,,,,,,
